title,artist,genres,label
Shape of You,Ed Sheeran,Pop,Hajin
Blinding Lights,The Weeknd,Synth-pop,Addy
Dance Monkey,Tones and I,Pop,Albert
Bad Guy,Billie Eilish,Electropop,Patrick
Señorita,Shawn Mendes & Camila Cabello,Pop,Hajin
Watermelon Sugar,Harry Styles,Pop,Addy
Someone You Loved,Lewis Capaldi,Pop,Albert
Circles,Post Malone,Pop,Patrick
Good 4 U,Olivia Rodrigo,Pop,Hajin
Peaches,Justin Bieber,R&B Pop,Addy
Levitating,Dua Lipa,Pop,Albert
Save Your Tears,The Weeknd & Ariana Grande,Pop,Patrick
Kiss Me More,Doja Cat,R&B Pop,Hajin
Montero,Lil Nas X,Hip Hop,Addy
Industry Baby,Lil Nas X & Jack Harlow,Hip Hop,Albert
Stay,The Kid LAROI & Justin Bieber,Pop,Patrick
Shivers,Ed Sheeran,Pop,Hajin
Heat Waves,Glass Animals,Psychedelic pop,Addy
Easy On Me,Adele,Pop,Albert
Beggin',Måneskin,Pop Rock,Patrick
